participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c
10000,12,1,52.7697754,48.16931,45.0,35.0,36.0,29.0,17.0,18.0,20.0,,3,4,50.0,38.0,33.0,25.0,21.0,21.0,12.0,,50.0,38.0,12.0,,31.0,25.0,22.0,23.0,5.0,3.0,8.0,,3.0,4.0,4.0,3.0,0.09319297838950868,0.062408532939828516,0.09319297838950868,0.08299428508435457,0.9068070216104913,0.9375914670601715,0.9068070216104913,0.9170057149156454,6.0,4.0,10.0,18.0,9.0,27.0,10.0,27.0,6.0,18.0,4.0,9.0
10000,12,2,10.6516113,58.2686768,47.0,33.0,50.0,27.0,14.0,9.0,20.0,,3,4,62.0,35.0,36.0,26.0,21.0,18.0,4.0,,59.0,34.0,7.000000000000001,,31.0,25.0,22.0,23.0,15.0,2.0,16.0,,14.0,1.0,7.0,9.0,0.22218340624957936,0.1558995023895505,0.16883273278462688,0.21352281281524346,0.7778165937504207,0.8441004976104495,0.8311672672153732,0.7864771871847566,11.0,7.0,18.0,18.0,9.0,27.0,28.0,54.0,17.0,36.0,11.0,18.0
10000,12,3,14.9165039,47.6204834,44.0,30.0,41.0,31.0,15.0,13.0,26.0,,3,4,71.0,26.0,36.0,27.0,20.0,16.0,3.0,,56.99999999999999,27.0,16.0,,28.999999999999996,24.0,23.0,24.0,27.0,4.0,23.0,,5.0,4.0,5.0,3.0,0.3154903094082348,0.07671203397220076,0.1236610853045424,0.1696282920799416,0.6845096905917651,0.9232879660277993,0.8763389146954577,0.8303717079200584,11.0,7.0,18.0,18.0,9.0,27.0,46.0,81.0,28.0,54.0,18.0,27.0
1003,13,1,15.2593994,13.95166,30.0,30.0,55.0,45.0,,,20.0,20.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,53.0,47.0,,,5.0,0.0,0.0,5.0,7.105427357601002e-15,0.0,,,0.06303692779954677,0.0,0.06303692779954623,0.01704164142481431,0.9369630722004533,1.0,0.9369630722004538,0.9829583585751857,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
1003,13,2,16.659668,7.749756,25.0,25.0,48.0,52.0,,,25.0,25.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,19.0,26.0,26.0,30.0,50.0,50.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,0.03400465534436373,0.01699040185542936,0.06856714307434458,0.01699040185542936,0.9659953446556363,0.9830095981445707,0.9314328569256554,0.9830095981445707,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1003,13,3,27.8238525,41.149292,22.0,22.0,40.0,60.0,,,28.0,28.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,15.0,20.0,30.0,35.0,48.0,52.0,,,7.999999999999998,1.0,4.0,5.0,5.0,4.999999999999993,,,0.09482641375944903,0.042962057701503034,0.09060275839063382,0.06847960278156069,0.905173586240551,0.9570379422984969,0.9093972416093662,0.9315203972184393,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
1005,13,1,26.5750732,31.3999023,35.0,30.0,54.0,46.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,1.000000000000007,1.0,,,0.0,0.008527899910057452,4.002140991903532e-09,0.008527899910057452,1.0,0.9914721000899426,0.999999995997859,0.9914721000899426,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
1005,13,2,33.1118164,24.8250732,15.0,20.0,47.0,53.0,,,30.0,35.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,45.0,55.00000000000001,,,8.0,7.0,3.0,12.0,3.0,3.0,,,0.13958455007914805,0.02549304867489489,0.13958455007914805,0.01704164142481431,0.860415449920852,0.9745069513251051,0.860415449920852,0.9829583585751857,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1005,13,3,29.6165771,15.7249756,10.0,18.0,42.0,58.0,,,32.0,40.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,8.0,15.0,33.0,45.0,43.0,56.99999999999999,,,4.000000000000002,3.0,0.0,7.0,3.0,2.999999999999993,,,0.07532317522324865,0.025699821112529157,0.05359644653324766,0.008590489910300009,0.9246768247767514,0.9743001788874709,0.9464035534667523,0.9914095100897,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
1010,13,1,16.390625,23.6923828,35.0,30.0,55.0,45.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,,,0.0,0.0,4.002140991903532e-09,0.0,1.0,1.0,0.999999995997859,1.0,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
