participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3
41,13,2,53.1005859,13.0498047,22,Female,No,No,Never,21.0,27.0,42.0,58.0,,,29.0,23.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,49.0,51.0,,,2.0,0.0,2.0,0.0,8.0,8.0,,,0.02420076749935698,0.0682018423754005,0.02420076749935698,0.05972020669473153,0.975799232500643,0.9317981576245995,0.975799232500643,0.9402797933052685,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
41,13,3,18.7001953,9.099609,22,Female,No,No,Never,13.0,24.0,38.0,62.0,,,34.0,29.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,12.0,21.0,34.0,32.0,46.0,54.0,,,1.0000000000000018,3.0,2.0,4.0,7.0,6.999999999999993,,,0.04478322930792651,0.0603591476282208,0.037247900820089615,0.0688742659517382,0.9552167706920734,0.9396408523717792,0.9627520991799103,0.9311257340482618,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
42,13,1,50.5830078,81.13379,23,Female,Yes,No,Sometimes,35.0,30.0,54.0,46.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,1.000000000000007,1.0,,,0.0,0.008527899910057452,4.002140991903532e-09,0.008527899910057452,1.0,0.9914721000899426,0.999999995997859,0.9914721000899426,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
42,13,2,26.6005859,5.283203,23,Female,Yes,No,Sometimes,25.0,25.0,50.0,50.0,,,25.0,25.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,50.0,50.0,,,2.0,2.0,2.0,2.0,0.0,0.0,,,0.03400465534436373,0.0,0.03400465534436373,0.0,0.9659953446556363,1.0,0.9659953446556363,1.0,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
42,13,3,14.4667969,55.3994141,23,Female,Yes,No,Sometimes,20.0,20.0,47.0,53.0,,,30.0,30.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,15.0,20.0,30.0,35.0,47.0,53.0,,,5.999999999999998,1.0,2.0,3.0,2.0,2.000000000000007,,,0.06837488726356376,0.01704164142481431,0.06303692779954623,0.0,0.9316251127364362,0.9829583585751857,0.9369630722004538,1.0,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
44,13,1,150.8335,16.666748,23,Male,Yes,No,Not Applicable,35.0,30.0,70.0,30.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,14.999999999999993,15.0,,,0.0,0.1319140868736712,4.002140991903532e-09,0.1319140868736712,1.0,0.8680859131263288,0.999999995997859,0.8680859131263288,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
44,13,2,134.8164,18.3500977,23,Male,Yes,No,Not Applicable,20.0,40.0,60.0,40.0,,,25.0,15.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,53.0,47.0,,,3.0,13.0,2.0,8.0,10.0,10.0,,,0.1277057829570281,0.0854351026245885,0.1277057829570281,0.059988030512285094,0.8722942170429719,0.9145648973754115,0.8722942170429719,0.9400119694877149,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
44,13,3,177.1333,26.4501953,23,Male,Yes,No,Not Applicable,10.0,25.0,40.0,60.0,,,35.0,30.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,13.0,34.0,32.0,22.0,45.0,55.00000000000001,,,4.000000000000002,4.0,3.0,3.0,5.0,4.999999999999993,,,0.0683516255646015,0.042962057701503034,0.10608457599426195,0.042962057701503034,0.9316483744353985,0.9570379422984969,0.8939154240057381,0.9570379422984969,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
46,13,1,169.6167,29.8833,45,Male,Yes,No,Sometimes,35.0,30.0,52.0,48.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,3.000000000000007,3.0,,,0.0,0.02554427320108188,4.002140991903532e-09,0.02554427320108188,1.0,0.9744557267989181,0.999999995997859,0.9744557267989181,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
46,13,2,53.8498535,16.0500488,45,Male,Yes,No,Sometimes,31.0,27.0,49.0,51.0,,,24.0,18.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,53.0,47.0,,,8.0,0.0,3.0,5.0,1.0,1.0,,,0.08445112360364816,0.008493713513927347,0.08445112360364816,0.03398421093000655,0.9155488763963519,0.9915062864860726,0.9155488763963519,0.9660157890699934,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
