ACC_c,ACC_u,AEWCC_c,AEWCC_u,AMDCC_c,AMDCC_u,CC_c,CC_u,Chosen Urn,DQ_C_o,DQ_C_s,DQ_U_o,DQ_U_s,DV_bayesInExp,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3,EWCC_c,EWCC_u,H_c,H_p,H_r,H_s,JSD_C_priorVpos,JSD_C_rc,JSD_C_rs,JSD_U_ct,JSD_U_priorVpos,JSD_U_rc,JSD_U_rs,JSD_U_rt,JSD_U_st,MDCC_c,MDCC_u,MSE_ff_RvC,MSE_hsi_RvC,MSE_hsi_RvT,MSE_hsi_SvT,MSE_hsi_TvC,MSE_hsi_TvR,MSE_hsi_diff_TvR_TvC,age,bayesFamaliar,bayesInExp,cB_c,cB_r,cB_s,cG_c,cG_r,cG_s,cP_c,cP_r,cP_s,cW_c,cW_r,cW_s,colours,diff_cB,diff_cG,diff_cP,diff_cW,diff_uA,diff_uB,diff_uC,diff_uD,instanceName,instanceSeq,participantID,prior_cB,prior_cG,prior_cP,prior_cW,prior_uA,prior_uB,prior_uC,prior_uD,probSubject,responseTimeColour,responseTimeUrn,seqBall,sex,totalBalls,totalBalls_B,totalBalls_G,totalBalls_P,totalBalls_W,uA_c,uA_r,uA_s,uA_t,uB_c,uB_r,uB_s,uB_t,uC_c,uC_r,uC_s,uC_t,uD_c,uD_r,uD_s,uD_t,urns
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.9462511499431696,0.9619991572441796,0.8046243207759297,0.849354663852241,No,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.9953784388202258,1.8792168119288581,0.070281513476667,0.0537488500568304,0.0380008427558202,0.6580576442050863,0.203393270999106,0.1953756792240702,0.1506453361477589,0.72527452152899,0.6435467716216957,12.0,10.0,10.0,124.99999999999996,1779.0,1322.5,1446.0,1779.0,333.0,23,No,Not Applicable,23.0,25.0,26.0,27.0,25.0,24.0,23.0,27.0,24.0,27.0,23.0,26.0,4,2.0,2.0,4.0,4.0,12.999999999999998,9.0,8.999999999999998,13.0,17,3,87,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,No,21.0327148,16.53247,2,Female,40,10,10.0,10.0,10,14.000000000000002,27.0,28.999999999999996,0,36.0,27.0,38.0,100,14.000000000000002,23.0,11.0,0,36.0,23.0,22.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.8697869519511383,0.8933349523727856,0.7463888011096389,0.741483548401586,No,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.5830689115989398,1.8792168119288581,0.070954594865523,0.1302130480488617,0.1066650476272143,0.72527452152899,0.1804757854901226,0.253611198890361,0.2585164515984139,0.6653586212287481,0.764667115171108,12.0,10.0,57.5,176.5,1585.5,2122.5,2097.0,1585.5,-511.5,23,No,Not Applicable,18.0,27.0,20.0,32.0,20.0,30.0,26.0,28.0,26.0,24.0,25.0,24.0,4,9.0,12.0,2.0,1.0,5.0,8.0,16.0,19.0,17,3,87,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,No,62.78125,29.3823242,3,Female,40,10,10.0,10.0,10,5.0,0.0,11.0,0,27.0,35.0,22.0,100,15.0,31.0,28.999999999999996,0,53.0,34.0,38.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.9118417787714758,0.9118417787714758,1.0,1.0,No,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.8464393446710157,1.8464393446710157,0.0703810511330489,0.0881582212285242,0.0881582212285242,0.7810163551494856,0.2005033225314282,0.0,0.0,0.7810163551494856,0.7810163551494856,12.0,6.0,24.999999999999993,0.0,2250.0,2250.0,2250.0,2250.0,0.0,21,Yes,Never,20.0,15.0,20.0,30.0,35.0,30.0,28.000000000000004,33.0,28.000000000000004,22.0,17.0,22.0,4,5.0,5.0,4.9999999999999964,5.0,0.0,0.0,0.0,0.0,17,3,88,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,Yes,167.86084,31.5322266,1,Male,40,10,10.0,10.0,10,10.0,10.0,10.0,0,20.0,20.0,20.0,100,30.0,30.0,30.0,0,40.0,40.0,40.0,0,4
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.948516793597596,0.948516793597596,0.944875589696792,0.944875589696792,No,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.92481870497303,1.855450810560131,0.070281513476667,0.0514832064024041,0.0514832064024041,0.6580576442050863,0.203393270999106,0.055124410303208,0.055124410303208,0.6800663974739644,0.6580576442050863,12.0,10.0,9.0,8.999999999999995,1539.0,1446.0,1446.0,1539.0,93.0,21,Yes,Never,23.0,20.0,23.0,27.0,30.0,27.0,23.0,20.0,23.0,27.0,30.0,27.0,4,3.0,3.0,3.0,3.0,2.9999999999999982,3.0,2.9999999999999982,3.0,17,3,88,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,Yes,221.008789,184.093262,2,Male,40,10,10.0,10.0,10,14.000000000000002,17.0,14.000000000000002,0,36.0,33.0,36.0,100,14.000000000000002,17.0,14.000000000000002,0,36.0,33.0,36.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.923496719134048,0.948516793597596,0.7890640584432661,0.8081281037697235,No,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.92481870497303,1.6987600698461307,0.070954594865523,0.0765032808659519,0.0514832064024041,0.72527452152899,0.1804757854901226,0.2109359415567339,0.1918718962302764,0.6800663974739644,0.740806952380577,12.0,10.0,20.0,146.0,1539.0,2130.5,2097.0,1539.0,-558.0,21,Yes,Never,18.0,20.0,23.0,32.0,30.0,27.0,26.0,20.0,23.0,24.0,30.0,27.0,4,2.0,2.0,6.0,6.0,12.0,6.0,2.0,20.0,17,3,88,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,Yes,10.949707,85.6806641,3,Male,40,10,10.0,10.0,10,5.0,17.0,6.0,0,27.0,33.0,25.0,100,15.0,17.0,19.0,0,53.0,33.0,50.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.8757074993919853,0.8434559290736762,0.8958949860308987,0.8958949860308987,No,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.962508878692925,1.8464393446710157,0.0703810511330489,0.1242925006080146,0.1565440709263238,0.7810163551494856,0.2005033225314282,0.1041050139691013,0.1041050139691013,0.7566315477498188,0.7810163551494856,12.0,6.0,39.49999999999999,31.5,2006.5,2250.0,2250.0,2006.5,-243.5,22,No,Not Applicable,20.0,10.0,23.0,30.0,37.0,28.000000000000004,28.000000000000004,31.0,27.0,22.0,22.0,24.0,4,10.0,7.0,2.9999999999999964,0.0,7.0,3.0,2.0,8.0,17,6,89,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,Yes,102.3667,78.81641,1,Female,40,10,10.0,10.0,10,10.0,17.0,10.0,0,20.0,23.0,20.0,100,30.0,28.0,30.0,0,40.0,32.0,40.0,0,4
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.9120409648250536,0.9017912696001972,0.9371356323710828,0.9003887093823602,No,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.9076711762085636,1.8874592426475671,0.070281513476667,0.0879590351749464,0.0982087303998028,0.6580576442050863,0.203393270999106,0.0628643676289173,0.0996112906176398,0.6507879767641357,0.6363312675192561,12.0,10.0,26.0,13.499999999999996,1354.5,1269.5,1446.0,1354.5,-91.5,22,No,Not Applicable,23.0,17.0,24.0,27.0,33.0,26.0,23.0,27.0,23.0,27.0,23.0,27.0,4,6.0,6.0,4.0,4.0,0.9999999999999982,1.0,3.9999999999999982,6.0,17,6,89,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,Yes,58.9169922,144.5332,2,Female,40,10,10.0,10.0,10,14.000000000000002,15.0,22.0,0,36.0,37.0,39.0,100,14.000000000000002,18.0,12.0,0,36.0,30.0,27.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.9825829189980688,0.9874081720701504,0.8129002371522724,0.8228941168933355,No,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.518290516400752,1.7429814958318302,0.070954594865523,0.017417081001931,0.0125918279298494,0.72527452152899,0.1804757854901226,0.1870997628477276,0.1771058831066645,0.7252745215289899,0.7197255445893096,12.0,10.0,1.0,37.5,2064.5,1944.25,2097.0,2064.5,-32.5,22,No,Not Applicable,18.0,17.0,18.0,32.0,33.0,32.0,26.0,27.0,27.0,24.0,23.0,23.0,4,1.0,1.0,1.0,1.0,5.0,0.0,10.0,5.0,17,6,89,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,Yes,19.4165039,63.28369,3,Female,40,10,10.0,10.0,10,5.0,0.0,6.0,0,27.0,27.0,28.000000000000004,100,15.0,25.0,21.0,0,53.0,48.0,46.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.7770375434931945,0.8199517563153018,0.7670191030007911,0.7670191030007911,No,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.9067464163932153,1.8464393446710157,0.0703810511330489,0.2229624565068054,0.1800482436846981,0.7810163551494856,0.2005033225314282,0.2329808969992088,0.2329808969992088,0.8328839243000742,0.7810163551494856,12.0,6.0,142.0,153.5,2503.5,2250.0,2250.0,2503.5,253.5,32,No,Not Applicable,20.0,30.0,24.0,30.0,10.0,26.0,28.000000000000004,30.0,26.0,22.0,30.0,24.0,4,10.0,20.0,1.9999999999999964,8.0,21.0,6.0,11.0,4.0,17,1,90,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,No,156.233643,531.016846,1,Female,40,10,10.0,10.0,10,10.0,31.0,10.0,0,20.0,14.0,20.0,100,30.0,19.0,30.0,0,40.0,36.0,40.0,0,4
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.7740112487722014,0.7932005659295507,0.7854974306018337,0.7730772687812185,No,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.969030814037859,1.8300628958427794,0.070281513476667,0.2259887512277986,0.2067994340704493,0.6580576442050863,0.203393270999106,0.2145025693981662,0.2269227312187815,0.6874794368639567,0.7566315477498188,12.0,10.0,156.5,147.49999999999997,1551.5,2103.5,1446.0,1551.5,105.5,32,No,Not Applicable,23.0,35.0,27.0,27.0,20.0,23.0,23.0,35.0,23.0,27.0,10.0,27.0,4,12.0,7.0,12.0,17.0,12.999999999999998,4.0,8.999999999999998,18.0,17,1,90,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,No,104.56665,425.0835,2,Female,40,10,10.0,10.0,10,14.000000000000002,27.0,39.0,0,36.0,32.0,23.0,100,14.000000000000002,23.0,8.0,0,36.0,18.0,30.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.9140869151223672,0.9296189488669512,0.8132885001085938,0.9022816423847664,No,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.8464393446710157,1.9214561231823348,0.070954594865523,0.0859130848776326,0.0703810511330489,0.72527452152899,0.1804757854901226,0.1867114998914062,0.0977183576152336,0.7810163551494856,0.7197255445893095,12.0,10.0,25.0,117.0,2250.0,1797.25,2097.0,2250.0,153.0,32,No,Not Applicable,18.0,25.0,20.0,32.0,25.0,30.0,26.0,25.0,28.000000000000004,24.0,25.0,22.0,4,7.0,7.0,1.0,1.0,5.0,7.0,15.0,13.0,17,1,90,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,No,46.1333,119.366943,3,Female,40,10,10.0,10.0,10,5.0,10.0,12.0,0,27.0,20.0,28.000000000000004,100,15.0,30.0,30.0,0,53.0,40.0,31.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.906414040976763,0.906414040976763,1.0,1.0,No,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.8464393446710157,1.8464393446710157,0.0703810511330489,0.0935859590232369,0.0935859590232369,0.7810163551494856,0.2005033225314282,0.0,0.0,0.7810163551494856,0.7810163551494856,12.0,6.0,30.000000000000004,0.0,2250.0,2250.0,2250.0,2250.0,0.0,19,No,Never,20.0,26.0,20.0,30.0,22.0,30.0,28.000000000000004,26.0,28.000000000000004,22.0,26.0,22.0,4,6.0,8.0,2.0000000000000036,4.0,0.0,0.0,0.0,0.0,17,10,91,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,No,66.93359,27.1333,1,Female,40,10,10.0,10.0,10,10.0,10.0,10.0,0,20.0,20.0,20.0,100,30.0,30.0,30.0,0,40.0,40.0,40.0,0,4
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.9320179348668024,0.9320179348668024,0.9812812542088728,0.9812812542088728,No,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.8812908992306927,1.855450810560131,0.070281513476667,0.0679820651331976,0.0679820651331976,0.6580576442050863,0.203393270999106,0.0187187457911271,0.0187187457911271,0.665358621228748,0.6580576442050863,12.0,10.0,16.0,0.9999999999999982,1475.0,1446.0,1446.0,1475.0,29.0,19,No,Never,23.0,27.0,23.0,27.0,23.0,27.0,23.0,27.0,23.0,27.0,23.0,27.0,4,4.0,4.0,4.0,4.0,0.9999999999999982,1.0,0.9999999999999982,1.0,17,10,91,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,No,36.6000977,89.90039,2,Female,40,10,10.0,10.0,10,14.000000000000002,15.0,14.000000000000002,0,36.0,35.0,36.0,100,14.000000000000002,15.0,14.000000000000002,0,36.0,35.0,36.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.8573297097248325,0.8886742066073847,0.8740701425086186,0.8944434390703622,No,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.8464393446710157,1.6717665191816176,0.070954594865523,0.1426702902751676,0.1113257933926153,0.72527452152899,0.1804757854901226,0.1259298574913814,0.1055565609296378,0.702440464210416,0.7350080393226888,12.0,10.0,69.5,57.0,1750.0,2126.25,2097.0,1750.0,-347.0,19,No,Never,18.0,29.0,21.0,32.0,20.0,28.999999999999996,26.0,29.0,25.0,24.0,22.0,25.0,4,11.0,12.0,3.0,2.0,5.0,3.0,5.0,13.0,17,10,91,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,No,36.4834,44.7167969,3,Female,40,10,10.0,10.0,10,5.0,10.0,6.0,0,27.0,30.0,26.0,100,15.0,20.0,17.0,0,53.0,40.0,52.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.9266808424076728,0.9266808424076728,1.0,1.0,Yes,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.8464393446710157,1.8464393446710157,0.0703810511330489,0.0733191575923273,0.0733191575923273,0.7810163551494856,0.2005033225314282,0.0,0.0,0.7810163551494856,0.7810163551494856,12.0,6.0,18.500000000000004,0.0,2250.0,2250.0,2250.0,2250.0,0.0,25,Yes,Sometimes,20.0,25.0,20.0,30.0,24.0,30.0,28.000000000000004,26.0,28.000000000000004,22.0,25.0,22.0,4,5.0,6.0,2.0000000000000036,3.0,0.0,0.0,0.0,0.0,17,11,92,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,Yes,22.1167,28.4833984,1,Male,40,10,10.0,10.0,10,10.0,10.0,10.0,0,20.0,20.0,20.0,100,30.0,30.0,30.0,0,40.0,40.0,40.0,0,4
72.0,41.0,48.0,23.0,24.0,16.0,36.0,26.0,B,0.9474771184576342,0.9155407478572049,0.8010460093653549,0.8010460093653549,Yes,0,1,0,24.0,15.0,1.855450810560131,1.8464393446710157,1.8418669508281058,1.855450810560131,0.070281513476667,0.0525228815423658,0.0844592521427951,0.6580576442050863,0.203393270999106,0.1989539906346451,0.1989539906346451,0.6219666810954748,0.6580576442050863,12.0,10.0,9.5,130.5,1205.5,1446.0,1446.0,1205.5,-240.5,25,Yes,Sometimes,23.0,26.0,28.000000000000004,27.0,25.0,22.0,23.0,26.0,20.0,27.0,23.0,30.0,4,3.0,2.0,3.0,4.0,14.999999999999998,5.0,4.000000000000002,16.0,17,11,92,20.0,30.0,28.000000000000004,22.0,10.0,20.0,30.0,40.0,Yes,21.3833,37.8833,2,Male,40,10,10.0,10.0,10,14.000000000000002,29.0,14.000000000000002,0,36.0,41.0,36.0,100,14.000000000000002,10.0,14.000000000000002,0,36.0,20.0,36.0,0,4
108.0,67.0,72.0,38.0,36.0,26.0,36.0,26.0,B,0.8903796526415488,0.900401901142444,0.7905644944295496,0.7326504861911658,Yes,0,0,1,24.0,15.0,1.6221087291864467,1.855450810560131,1.7478822779566012,1.8410985915263745,0.070954594865523,0.1096203473584511,0.099598098857556,0.72527452152899,0.1804757854901226,0.2094355055704504,0.2673495138088342,0.8420543704547541,0.6507879767641357,12.0,10.0,41.0,120.5,2694.5,1407.5,2097.0,2694.5,597.5,25,Yes,Sometimes,18.0,27.0,19.0,32.0,23.0,31.0,26.0,27.0,28.999999999999996,24.0,23.0,21.0,4,9.0,9.0,1.0,1.0,5.0,14.0,15.0,6.0,17,11,92,23.0,27.0,23.0,27.0,14.000000000000002,36.0,14.000000000000002,36.0,Yes,10.1835938,79.3999,3,Male,40,10,10.0,10.0,10,5.0,10.0,13.0,0,27.0,13.0,37.0,100,15.0,30.0,14.000000000000002,0,53.0,47.0,36.0,0,4
36.0,15.0,24.0,8.0,12.0,6.0,36.0,15.0,B,0.8091280104069538,0.8506867628320407,0.8339056306335773,0.8339056306335773,No,1,0,0,24.0,8.0,1.8464393446710157,2.0,1.565992839625725,1.8464393446710157,0.0703810511330489,0.1908719895930462,0.1493132371679593,0.7810163551494856,0.2005033225314282,0.1660943693664227,0.1660943693664227,0.8238859813499594,0.7810163551494856,12.0,6.0,101.5,43.5,2683.5,2250.0,2250.0,2683.5,433.5,21,No,Never,20.0,7.0,17.0,30.0,44.0,33.0,28.000000000000004,32.0,30.0,22.0,17.0,20.0,4,13.0,14.0,3.999999999999997,5.0,8.0,5.0,6.0,7.0,17,2,93,25.0,25.0,25.0,25.0,0.25,0.25,0.25,0.25,Yes,108.3833,135.6499,1,Female,40,10,10.0,10.0,10,10.0,2.0,10.0,0,20.0,15.0,20.0,100,30.0,36.0,30.0,0,40.0,47.0,40.0,0,4
